username,text
Valkyrae,@Class woooooo!
Valkyrae,@mavixchairs @qtcinderella Ahhh congrats!
Valkyrae,@QuarterJade hihihi *____*
Valkyrae,@JhbTeam @pokimanelol couch
Valkyrae,@valkybea @pokimanelol @xChocoBars @starsmitten_ @brookeab @TeanaKitten @Sydeon @QuarterJade @iGumdrop @plushyslol... https://t.co/uZ5hAzc1L7
Valkyrae,Have a great day fam
Valkyrae,@Jae_Day6 @keshimusic Hope you're doing well jae!!
Valkyrae,@tinakittenalt Chicken nuggets
Valkyrae,@Sugoi_Ash disgusting. please stay safe ash.
Valkyrae,@Sykkuno CONFIDENTKUNO
Valkyrae,@ValkyJade this is so hype I'm getting out of bed because of this LOL
Valkyrae,@100Thieves @CashApp 
Valkyrae,@xChocoBars @FanjoyCo LOOK AT OUR BBS!!!!
Valkyrae,"RT @xChocoBars: EXCITED TO ANNOUNCE I AM FINALLY RELEASING MERCH WITH @FanjoyCo 

2 Crewnecks
3 Mugs

Launch April 16 @ 10am PST
https://..."
Valkyrae,@LudwigAhgren 7
Valkyrae,@dreamwastaken @MrBeast @Dream Idk what it is but I agree
Valkyrae,@kyedae @100Thieves congrats!!!!!!!!!!!!! WELCOME :)
Valkyrae,@DisguisedToast @LudwigAhgren King of twitch
Valkyrae,@LudwigAhgren I WAS HERE
Valkyrae,@100Thieves @kyedae welcome and congrats bb girl :D
Valkyrae,@xChocoBars am happy for you!!!!!!!!!!!!!!!!!!!!!!!!!!!
Valkyrae,@mavixchairs LOLLLLLLLLLLLL SHES BEAUTIFUL
Valkyrae,"Animated by @nekonathann 
Edited by @kinamp4 
Thumb by @SesoHQ"
Valkyrae,"New YouTube Video!

Our first time checking out the new Among Us map! Nothing but confusion and chaos.. like usual... https://t.co/0a4pYGgD19"
Valkyrae,@bretmanrock yes
Valkyrae,@itshafu @dogdog Congrats!!!!!
Valkyrae,@Jack_Septic_Eye WOW *___*
Valkyrae,@casualbaesu Happy to meet you :D
Valkyrae,FILIPINO PRIDE!!!!! MAHAL KITA!!!!
Valkyrae,@kirad00 @Loganiser97 @cabinfevercaitt @shawnsmuffins03 @mikeoxb39161792 james was not in the lobby.
Valkyrae,@K_Sykuwu maybe both! :D
Valkyrae,@michaelreeves Michael why
Valkyrae,@raem0ndo youtube vid + a stream!
Valkyrae,in like 50 years after covid of course
Valkyrae,i cant wait to go to conventions and have meet &amp; greets again.. i wanna hug everybody
Valkyrae,@itsraechill couch
Valkyrae,"@CouRageJD @Nadeshot @100Thieves i cant believe out of all the photos they took of me, they posted an ear pic LOL"
Valkyrae,"RT @CouRageJD: 100T x New York Times!

Let's go! @Valkyrae @Nadeshot @100Thieves https://t.co/ndZdaSs97l"
Valkyrae,@Jack_Septic_Eye we missed ya jack!! you definitely gotta join next time ;______________________;
Valkyrae,@nekonathann wahhhthanks Nathan
Valkyrae,Cried from laughter so much tonight.. I love my friends and I love games and I love playing games with my friends. Thanks for watchin! 
Valkyrae,@alyafterdark ...if i move will you stomp on me plz
Valkyrae,@Leilax_art @pokimanelol 
Valkyrae,@pokimanelol Rae is very proud of Imane!!!!!
Valkyrae,@TeanaKitten Deleted because people think im serious but duh I love you have a good day goodbye
Valkyrae,@starryeef @TeanaKitten I am 
Valkyrae,@KarlJacobs_ @Corpse_Husband @TeanaKitten @brookeab @emmalangevinxo @JustaMinx ?
Valkyrae,@LilyPichu I would if I wasn't drinking! We will get more early valo games in soon 
Valkyrae,@KarlJacobs_ @itsraechill That's the first question I'm asking 
Valkyrae,@itsraechill *commenting so more people see without having to tweet this from my main*
Valkyrae,@dbambooty I'll only pick good ones 
Valkyrae,@fuslie why are we like this
Valkyrae,"Live Saturday 4/10

Starting with Dead by Daylight at 3pm PST
Fuslie
Ludwig
Sykkuno
Kkatamina

then Drunk Scribble... https://t.co/CxQY0ajgpB"
Valkyrae,@fuslie @StIcKyRamee @LordKebun I can't believe I wasn't even going to play gta today and all this happened LOL
Valkyrae,@LordKebun @StIcKyRamee @fuslie ahh my mic IS LOUD -__-- thanks for playing with us!!!
Valkyrae,probably the most insanely hilarious and anxiety inducing yet fun stream i've had in a really long time. successful... https://t.co/FSwiavAyWN
Valkyrae,@fuslie THAT SECOND PHOTO LMFOAOO I REALLY DO BE RETHINKING MY LIFE
